Year,Winner,Score,Loser,Goals
1950,Chile ,5–2, United States," Robledo  16'Cremaschi  32', 60'Prieto  54'Riera  82'   Wallace  47'Maca  48' (pen.) "
1950,Sweden ,3–2, Italy," Jeppson  25', 68'Andersson  33'   Carapellese  7'Muccinelli  75' "
1950,Sweden ,2–2, Paraguay, Sundqvist  17'Palmér  26'   López  35'López Fretes  74' 
1950,Italy ,2–0, Paraguay, Carapellese  12'Pandolfini  62'    
1950,Uruguay ,8–0, Bolivia," Míguez  14', 40', 51'Vidal  18'Schiaffino  23', 54'Pérez  83'Ghiggia  87'    "
1950,Uruguay ,2–2, Spain," Ghiggia  29'Varela  73'   Basora  37', 39' "
1950,Brazil ,7–1, Sweden," Ademir  17', 36', 52', 58'Chico  39', 88'Maneca  85'   Andersson  67' (pen.) "
1950,Brazil ,6–1, Spain," Ademir  15', 57'Jair  21'Chico  31', 55'Zizinho  67'   Igoa  71' "
1950,Uruguay ,3–2, Sweden," Ghiggia  39'Míguez  77', 85'   Palmér  5'Sundqvist  40' "
1950,Sweden ,3–1, Spain, Sundqvist  15'Mellberg  33'Palmér  80'   Zarra  82' 
1950,Uruguay ,2–1, Brazil, Schiaffino  66'Ghiggia  79'   Friaça  47' 
1954,Brazil ,5–0, Mexico," Baltazar  23'Didi  30'Pinga  34', 43'Julinho  69'    "
1954,Yugoslavia ,1–0, France, Milutinović  15'    
1954,Brazil ,1–1 (a.e.t.), Yugoslavia, Didi  69'   Zebec  48' 
1954,France ,3–2, Mexico, Vincent  19'Cárdenas  46' (o.g.)Kopa  88' (pen.)   Lamadrid  54'Balcázar  85' 
1954,West Germany ,4–1, Turkey, Schäfer  14'Klodt  52'O. Walter  60'Morlock  84'   Suat  2' 
1954,Hungary ,9–0, South Korea," Puskás  12', 89'Lantos  18'Kocsis  24', 36', 50'Czibor  59'Palotás  75', 83'    "
1954,Hungary ,8–3, West Germany," Kocsis  3', 21', 69', 78'Puskás  17'Hidegkuti  52', 54'J. Tóth  75'   Pfaff  25'Rahn  77'Herrmann  84' "
1954,Turkey ,7–0, South Korea," Suat  10', 30'Lefter  24'Burhan  37', 64', 70'Erol  76'    "
1954,West Germany ,7–2, Turkey," O. Walter  7'Schäfer  12', 79'Morlock  30', 60', 77'F. Walter  62'   Mustafa  21'Lefter  82' "
1954,Uruguay ,2–0, Czechoslovakia, Míguez  71'Schiaffino  84'    
1954,Austria ,1–0, Scotland, Probst  33'    
1954,Uruguay ,7–0, Scotland," Borges  17', 47', 57'Míguez  30', 83'Abbadie  54', 85'    "
1954,Austria ,5–0, Czechoslovakia," Stojaspal  3', 65'Probst  4', 21', 24'    "
1954,Switzerland ,2–1, Italy, Ballaman  18'Hügi  78'   Boniperti  44' 
1954,England ,4–4 (a.e.t.), Belgium," Broadis  26', 63'Lofthouse  36', 91'   Anoul  5', 71'Coppens  67'Dickinson  94' (o.g.) "
1954,Italy ,4–1, Belgium, Pandolfini  41' (pen.)Galli  48'Frignani  58'Lorenzi  78'   Anoul  81' 
1954,England ,2–0, Switzerland, Mullen  43'Wilshaw  69'    
1954,Switzerland ,4–1, Italy," Hügi  14', 85'Ballaman  48'Fatton  90'   Nesti  67' "
1954,Austria ,7–5, Switzerland," Wagner  25', 27', 53'A. Körner  26', 34'Ocwirk  32'Probst  76'   Ballaman  16', 39'Hügi  17', 19', 60' "
1954,Uruguay ,4–2, England, Borges  5'Varela  39'Schiaffino  46'Ambrois  78'   Lofthouse  16'Finney  67' 
1954,West Germany ,2–0, Yugoslavia, Horvat  9' (o.g.)Rahn  85'    
1954,Hungary ,4–2, Brazil," Hidegkuti  4'Kocsis  7', 88'Lantos  60' (pen.)   Djalma Santos  18' (pen.)Julinho  65' "
1954,West Germany ,6–1, Austria," Schäfer  31'Morlock  47'F. Walter  54' (pen.), 64' (pen.)O. Walter  61', 89'   Probst  51' "
1954,Hungary ,4–2 (a.e.t.), Uruguay," Czibor  13'Hidegkuti  46'Kocsis  111', 116'   Hohberg  75', 86' "
1954,Austria ,3–1, Uruguay, Stojaspal  16' (pen.)Cruz  59' (o.g.)Ocwirk  89'   Hohberg  22' 
1954,West Germany ,3–2, Hungary,"  Morlock  10' Rahn  18', 84'    Puskás  6' Czibor  8' "
1958,Argentina ,1–3, West Germany," Corbatta  3'   Rahn  32', 79'Seeler  42' "
1958,Northern Ireland ,1–0, Czechoslovakia, Cush  21'    
1958,West Germany ,2–2, Czechoslovakia, Schäfer  60'Rahn  71'   Dvořák  24' (pen.)Zikán  42' 
1958,Argentina ,3–1, Northern Ireland, Corbatta  37' (pen.)Menéndez  56'Avio  60'   McParland  4' 
1958,West Germany ,2–2, Northern Ireland," Rahn  20'Seeler  78'   McParland  18', 60' "
1958,Czechoslovakia ,6–1, Argentina," Dvořák  8'Zikán  17', 40'Feureisl  69'Hovorka  82', 89'   Corbatta  65' (pen.) "
1958,Northern Ireland ,2–1 (a.e.t.), Czechoslovakia," McParland  44', 97'   Zikán  18' "
1958,France ,7–3, Paraguay," Fontaine  24', 30', 67'Piantoni  52'Wisnieski  61'Kopa  70'Vincent  83'   Amarilla  20', 44' (pen.)Romero  50' "
1958,Yugoslavia ,1–1, Scotland, Petaković  6'   Murray  49' 
1958,Yugoslavia ,3–2, France," Petaković  16'Veselinović  63', 88'   Fontaine  4', 85' "
1958,Paraguay ,3–2, Scotland, Agüero  4'Ré  45'Parodi  73'   Mudie  24'Collins  74' 
1958,France ,2–1, Scotland, Kopa  22'Fontaine  44'   Baird  58' 
1958,Paraguay ,3–3, Yugoslavia, Parodi  20'Agüero  52'Romero  80'   Ognjanović  18'Veselinović  21'Rajkov  73' 
1958,Sweden ,3–0, Mexico," Simonsson  17', 64'Liedholm  57' (pen.)    "
1958,Hungary ,1–1, Wales, Bozsik  5'   J. Charles  27' 
1958,Mexico ,1–1, Wales, Belmonte  89'   I. Allchurch  32' 
1958,Sweden ,2–1, Hungary," Hamrin  34', 55'   Tichy  77' "
1958,Sweden ,0–0, Wales,     
1958,Hungary ,4–0, Mexico," Tichy  19', 46'Sándor  54'Bencsics  69'    "
1958,Wales ,2–1, Hungary, I. Allchurch  55'Medwin  76'   Tichy  33' 
1958,Brazil ,3–0, Austria," Altafini  37', 85'Nílton Santos  50'    "
1958,Soviet Union ,2–2, England, Simonyan  13'A. Ivanov  56'   Kevan  66'Finney  85' (pen.) 
1958,Brazil ,0–0, England,     
1958,Soviet Union ,2–0, Austria, Ilyin  15'V. Ivanov  62'    
1958,England ,2–2, Austria, Haynes  56'Kevan  74'   Koller  15'Körner  71' 
